;error_output;head_output_083;head_output_158;head_output_180;flow_output_F1;flow_output_K1;flow_output_P1;tank_output_180;energy_output_F1;energy_output_K1;energy_output_P1;tank_input_180;pump_input_F1;pump_input_K1;pump_input_P1;demand_input_par2;demand_input_kar2
0;4;183,1046142578125;182,8961639404297;169,5800018310547;0,0;102,129150390625;66,84835052490234;169,5800018310547;0,0;5,522678852081299;2,203878164291382;0,7;0,57;0,5;0,53;0,64;0,88
1;4;225,81114196777344;225,5186767578125;168,89999389648438;188,70831298828125;66,57766723632812;0,0;168,89999389648438;30,802295684814453;16,242122650146484;0,0;2,9;0,79;0,96;0,77;0,21;0,24
2;4;223,15484619140625;222,86155700683594;167,39999389648438;229,0957489013672;63,377662658691406;0,0;167,39999389648438;37,44687271118164;15,456392288208008;0,0;1,4;0,86;0,95;0,6;0,73;0,22
3;4;221,32347106933594;221,02688598632812;167,8000030517578;0,0;48,97765350341797;0,0;167,8000030517578;0,0;13,409773826599121;0,0;1,8;0,64;0,93;0,76;0,37;0,13
4;4;207,45449829101562;207,23948669433594;167,8000030517578;154,07699584960938;-5,867132186889648;114,04463195800781;167,8000030517578;23,54240608215332;2,113041877746582;15,766326904296875;1,1;0,73;0,8;0,98;0,51;0,5
5;4;192,9115753173828;192,61819458007812;167,60000610351562;262,9134826660156;0,0;32,97758483886719;167,60000610351562;45,06127166748047;0,0;3,5326523780822754;1,6;0,94;0,63;0,61;0,25;0,03
6;4;221,0341033935547;220,74041748046875;167,60000610351562;0,0;61,777652740478516;0,0;167,60000610351562;0,0;14,588678359985352;0,0;1,1;0,6;0,93;0,85;0,82;0,21
7;4;192,6905059814453;192,40760803222656;168,10000610351562;0,0;14,025960922241211;50,951541900634766;168,10000610351562;0,0;3,132556676864624;4,0269575119018555;2,1;0,61;0,63;0,63;0,21;0,23
8;4;226,9922637939453;226,7265167236328;170,5;17,70269203186035;132,17767333984375;0,0;170,5;5,274967670440674;33,47237777709961;0,0;4,5;0,7;0,97;0,74;0,32;0,65
9;4;188,82029724121094;188,52340698242188;168,10000610351562;236,2524871826172;47,37754440307617;0,0;168,10000610351562;39,72675704956055;5,137012004852295;0,0;2,1;0,88;0,58;0,51;0,82;0,12
