;error_output;time_output;head_output_083;head_output_158;head_output_180;flow_output_F1;flow_output_K1;flow_output_P1;tank_output_180;energy_output_F1;energy_output_K1;energy_output_P1;tank_input_180;pump_input_F1;pump_input_K1;pump_input_P1;demand_input_par2;demand_input_kar2
0;4;0;201,3937530517578;201,10801696777344;170,0;0,0;88,97758483886719;0,0;170,0;0,0;11,01158332824707;0,0;4,0;0,65;0,72;0,68;0,61;0,38
1;4;3600;214,1528778076172;213,99270629882812;169,77621459960938;0,0;78,47163391113281;0,0;169,77621459960938;0,0;13,90737247467041;0,0;4,0;0,53;0,85;0,84;0,86;0,36
2;4;7200;201,1036834716797;200,95843505859375;169,578857421875;0,0;0,0;28,976604461669922;169,578857421875;0,0;0,0;5,054376602172852;4,0;0,5;0,54;0,73;0,41;0,06
3;4;10800;230,9952850341797;230,86679077148438;169,578857421875;0,0;92,73619079589844;0,0;169,578857421875;0,0;22,337993621826172;0,0;4,0;0,65;1,0;0,69;0,95;0,46
4;4;14400;212,2189483642578;212,04676818847656;169,34561157226562;0,0;127,02311706542969;0,0;169,34561157226562;0,0;23,64997100830078;0,0;4,0;0,63;0,85;0,64;0,1;0,65
5;0;18000;210,10740661621094;209,78427124023438;169,02615356445312;188,06536865234375;85,48918151855469;51,99982452392578;169,02615356445312;30,806976318359375;13,871949195861816;8,068169593811035;4,0;0,79;0,82;0,86;0,93;0,66
6;0;21600;187,96075439453125;186,99862670898438;169,2841339111328;198,43247985839844;123,40447235107422;48,210025787353516;169,2841339111328;33,080406188964844;9,893155097961426;2,896383285522461;4,0;0,81;0,59;0,55;0,28;0,73
7;0;25200;206,75189208984375;204,9188995361328;169,47283935546875;149,39044189453125;72,76986694335938;112,95113372802734;169,47283935546875;23,926755905151367;11,232073783874512;15,181061744689941;4,0;0,74;0,78;0,97;0,04;0,68
8;4;28800;196,4261932373047;194,07752990722656;169,66554260253906;0,0;0,0;127,01558685302734;169,66554260253906;0,0;0,0;12,727559089660645;4,0;0,62;0,54;0,94;0,56;0,25
9;0;32400;193,39012145996094;190,64764404296875;169,66554260253906;172,13174438476562;38,95012283325195;96,84137725830078;169,66554260253906;28,2717227935791;5,4851555824279785;6,9651055335998535;4,0;0,77;0,62;0,78;0,29;0,26
10;4;36000;194,5404510498047;192,08250427246094;170,00050354003906;0,0;31,210538864135742;91,14695739746094;170,00050354003906;0,0;5,4002485275268555;6,927918910980225;4,0;0,65;0,63;0,77;0,02;0,21
11;4;39600;188,62557983398438;186,39373779296875;169,9219970703125;0,0;22,277610778808594;111,88739013671875;169,9219970703125;0,0;3,758150339126587;6,449504852294922;4,0;0,65;0,55;0,8;0,17;0,31
12;4;43200;189,13046264648438;187,23214721679688;169,865966796875;0,0;43,78778076171875;128,99571228027344;169,865966796875;0,0;4,652744293212891;8,732807159423828;4,0;0,6;0,56;0,89;0,87;0,59
13;4;46800;213,2398681640625;211,30859375;169,75584411621094;283,1481018066406;238,890625;0,0;169,75584411621094;52,670467376708984;49,960960388183594;0,0;4,0;1,0;0,96;0,62;0,87;1,0
14;4;50400;211,4175262451172;209,4835205078125;169,86715698242188;0,0;203,60609436035156;19,277904510498047;169,86715698242188;0,0;40,48602294921875;6,395718574523926;4,0;0,53;0,9;0,86;0,82;0,9
15;0;54000;205,74742126464844;204,17218017578125;169,35507202148438;213,8577880859375;196,98085021972656;14,597641944885254;169,35507202148438;36,31610870361328;34,352630615234375;4,089643955230713;4,0;0,84;0,85;0,79;0,07;0,88
16;4;57600;195,52853393554688;194,02578735351562;169,39752197265625;0,0;0,0;79,2680892944336;169,39752197265625;0,0;0,0;6,2806220054626465;4,0;0,57;0,64;0,74;0,61;0,07
17;4;61200;191,7457733154297;190,47174072265625;169,39752197265625;0,0;204,03855895996094;0,0;169,39752197265625;0,0;22,16954231262207;0,0;4,0;0,61;0,74;0,5;0,39;0,88
18;4;64800;189,53392028808594;188,09500122070312;168,8843536376953;0,0;148,0885467529297;0,0;168,8843536376953;0,0;14,657760620117188;0,0;4,0;0,63;0,64;0,51;0,81;0,51
19;0;68400;203,2962188720703;201,5331573486328;168,51190185546875;171,8281707763672;35,18006134033203;105,14393615722656;168,51190185546875;27,26764488220215;7,865841388702393;11,999273300170898;4,0;0,76;0,75;0,91;0,68;0,41
20;0;72000;191,35145568847656;189,96121215820312;168,85557556152344;284,6545715332031;98,23275756835938;101,61473846435547;168,85557556152344;51,92329788208008;8,720029830932617;6,620386600494385;4,0;1,0;0,62;0,78;0,41;0,83
21;4;75600;193,86753845214844;191,80813598632812;169,32443237304688;0,0;135,26455688476562;36,91893768310547;169,32443237304688;0,0;15,33275032043457;3,7909319400787354;4,0;0,55;0,67;0,63;0,12;0,57
22;4;79200;212,6177215576172;211,35862731933594;168,98423767089844;188,31787109375;223,21913146972656;0,0;168,98423767089844;30,805416107177734;46,71251678466797;0,0;4,0;0,79;0,94;0,82;0,25;1,0
23;4;82800;230,38168334960938;229,9532928466797;168,89645385742188;169,57257080078125;89,12968444824219;0,0;168,89645385742188;27,169010162353516;21,543394088745117;0,0;4,0;0,76;1,0;0,51;0,02;0,34
